id	title	description	link	image_link	availability	price	brand	condition	identifier_exists	google_product_category	shipping
PEPLAB-MT-1	MT-1 10mg	MT-1 (Melanotan I / Afamelanotide) is a synthetic peptide that promotes melanin production for skin tanning protection.	https://peplab.ai/product/mt-1	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/mt-1-10-mg-1784057810788.png	in_stock	87.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-MT-2	MT-2 10mg	MT-2 (Melanotan II) is a synthetic peptide that stimulates melanin production for tanning and may support libido.	https://peplab.ai/product/mt-2	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/mt-2-10-mg-1784057910758.png	in_stock	87.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-BPC-5MG-TB-5MG	BPC-157 + TB-500 10mg	A powerful combination of BPC-157 and TB-500 peptides, designed to maximize recovery, tissue repair, and healing potential.	https://peplab.ai/product/bpc-5mg-tb-5mg	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/bpc-5mg-tb-5mg/10mg.png	in_stock	147.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-BPC-157	BPC-157 5mg	BPC-157 (Body Protection Compound) is a synthetic peptide derived from human gastric juice. It supports tissue repair, gut health, and recovery from i...	https://peplab.ai/product/bpc-157	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/bpc-157/5mg.png	in_stock	81.25 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-TB-500	TB-500 5mg	TB-500 (Thymosin Beta-4) is a synthetic peptide that promotes tissue repair, reduces inflammation, and supports recovery from muscle and tissue injuri...	https://peplab.ai/product/tb-500	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/tb-500/5mg.png	in_stock	81.25 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-IGF-1-LR3	IGF-1 LR3 1mg	IGF-1 LR3 is a modified insulin-like growth factor with extended half-life for enhanced muscle growth and recovery support.	https://peplab.ai/product/igf-1-lr3	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/igf-1-lr3/1mg.png	in_stock	187.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-IPAMORELIN	IPAMORELIN 5mg	Ipamorelin is a selective growth hormone secretagogue that stimulates natural GH release with minimal side effects.	https://peplab.ai/product/ipamorelin	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/ipamorelin/5mg.png	in_stock	68.75 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-HCG	HCG 5000 IU	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/hcg	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/hcg-5000-iu-1781458241652.png	in_stock	110.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-HGH-191AA	HGH 191AA 10 IU	HGH 191AA is synthetic human growth hormone identical to naturally produced HGH. Supports muscle growth, fat loss, and recovery.	https://peplab.ai/product/hgh-191aa	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/hgh-191aa-10-iu-1781963296932.png	in_stock	110.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-KISSPEPTIN-10	KISSPEPTIN-10 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/kisspeptin-10	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/kisspeptin-10/10mg.png	in_stock	110.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-PNC-27	PNC-27 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/pnc-27	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/pnc-27-1781421925218.png	out_of_stock	120.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-ADAMAX	ADAMAX 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/adamax	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/adamax-1781424487199.png	in_stock	172.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-DIHEXA	DIHEXA 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/dihexa	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/dihexa-1781424129764.png	out_of_stock	187.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-EPITALON	EPITALON 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/epitalon	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/epitalon-1781424012533.png	in_stock	87.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-FOX04-DRI	FOX04-DRI 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/fox04-dri	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/fox04-dri-1781424712444.png	in_stock	378.75 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-SERMOTELIN	SERMOTELIN 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/sermotelin	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/sermotelin-1781423575109.png	out_of_stock	147.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-THYMOSIN-APLHA-1	THYMOSIN APLHA-1 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/thymosin-aplha-1	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/thymosin-aplha-1-1781423804627.png	in_stock	147.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-AHK-CU	AHK-CU 50mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/ahk-cu	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/ahk-cu/50mg.png	in_stock	110.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-SEMAX--SELANK	SEMAX + SELANK 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/semax--selank	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/semax-selank/10mg.png	in_stock	147.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-SEMAX	SEMAX 10mg	Semax is a synthetic peptide derived from ACTH that supports cognitive function, memory, and neuroprotection.	https://peplab.ai/product/semax	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/semax/10mg.png	in_stock	93.75 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-SELANK	SELANK 10mg	Selank is a synthetic peptide with anxiolytic and nootropic properties, supporting stress relief and cognitive function.	https://peplab.ai/product/selank	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/selank/10mg.png	in_stock	110.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-KPV	KPV 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/kpv	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/kpv/10mg.png	in_stock	110.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-GHRP-6	GHRP-6 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/ghrp-6	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/ghrp-6/10mg.png	in_stock	110.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-GLUTATHIONE	GLUTATHIONE 600mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/glutathione	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/glutathione/600mg.png	in_stock	110.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-CJC-1295-DAC	CJC-1295 DAC 5mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/cjc-1295-dac	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/cjc-1295-dac-5-mg-1783770065373.png	in_stock	75.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-CJC-1295-NO-DAC	CJC-1295 NO DAC 5mg	CJC-1295 without DAC is a growth hormone releasing hormone (GHRH) analog that stimulates natural growth hormone production.	https://peplab.ai/product/cjc-1295-no-dac	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/cjc-1295-no-dac/5mg.png	in_stock	75.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-AOD-9604	AOD-9604 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/aod-9604	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/aod-9604/10mg.png	in_stock	172.50 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-VIP	VIP 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/vip	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vip-1781425230111.png	in_stock	150.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
PEPLAB-DSIP	DSIP 10mg	This product is for research purposes only... This product has not been evaluated or approved by the Therapeutic Goods Administration (TGA) of Australia. It is not listed on the Australian Register of Therapeutic Goods (ARTG). This product is not intended for therapeutic, diagnostic, or cosmetic purposes. It is supplied strictly for laboratory research and scientific investigation. This product is intended solely for in vitro research and laboratory use by qualified researchers. Not for human or animal consumption. • The purchaser assumes full responsibility for proper handling, storage, and use in compliance with all applicable Australian laws and regulations. • PEPLAB makes no claims regarding safety, efficacy, purity, or suitability outside a controlled research environment. • By purchasing, you confirm you are 18+ years of age and will use this product only for lawful research purposes. • PEPLAB is not liable for any misuse, mishandling, or unlawful use of this product.	https://peplab.ai/product/dsip	https://dbhoyrqehxbjvdvddixc.supabase.co/storage/v1/object/public/product-images/vials/dsip/10mg.png	in_stock	110.00 AUD	Pep Lab	new	FALSE	Business & Industrial > Science & Laboratory > Laboratory Chemicals	AU:::0.00 AUD
